Time - Strain	Amplitude - Strain
0	0.00247048
0.0005	0.00247031
0.001	0.00246876
0.0015	0.00246824
0.002	0.00247109
0.0025	0.00246952
0.003	0.0024708
0.0035	0.00247074
0.004	0.00247005
0.0045	0.00246983
0.005	0.00247075
0.0055	0.00247181
0.006	0.0024716
0.0065	0.00247001
0.007	0.00247037
0.0075	0.00247237
0.008	0.00247037
0.0085	0.0024715
0.009	0.00247019
0.0095	0.00247172
0.01	0.00247053
0.0105	0.00247046
0.011	0.00246952
0.0115	0.00247028
0.012	0.00247046
0.0125	0.00247288
0.013	0.00247053
0.0135	0.00246945
0.014	0.00247096
0.0145	0.00247167
0.015	0.00247087
0.0155	0.00247308
0.016	0.00246994
0.0165	0.00247015
0.017	0.00247053
0.0175	0.00246985
0.018	0.00247022
0.0185	0.00246941
0.019	0.0024686
0.0195	0.00246986
0.02	0.00247098
0.0205	0.00247144
0.021	0.00246989
0.0215	0.00247025
0.022	0.00247034
0.0225	0.00246873
0.023	0.0024719
0.0235	0.00246965
0.024	0.00246945
0.0245	0.00247058
0.025	0.0024691
0.0255	0.00247046
0.026	0.00246948
0.0265	0.00247128
0.027	0.00246932
0.0275	0.00247152
0.028	0.00247112
0.0285	0.00247112
0.029	0.00247143
0.0295	0.00246905
0.03	0.00246994
0.0305	0.00247058
0.031	0.00246979
0.0315	0.00247033
0.032	0.00246835
0.0325	0.00246808
0.033	0.00247057
0.0335	0.00247025
0.034	0.00247171
0.0345	0.00247081
0.035	0.00247036
0.0355	0.00246884
0.036	0.00246912
0.0365	0.00247062
0.037	0.00246994
0.0375	0.00246959
0.038	0.00246877
0.0385	0.00247061
0.039	0.00247054
0.0395	0.00247004
0.04	0.00246953
0.0405	0.00246808
0.041	0.00247002
0.0415	0.00247027
0.042	0.00246813
0.0425	0.00246965
0.043	0.00247187
0.0435	0.00247053
0.044	0.00247034
0.0445	0.00246823
0.045	0.00247038
0.0455	0.00246924
0.046	0.00246886
0.0465	0.00246921
0.047	0.00247089
0.0475	0.00246921
0.048	0.00246963
0.0485	0.00246862
0.049	0.00246875
0.0495	0.00246868
0.05	0.00246938
0.0505	0.00246984
0.051	0.00246809
0.0515	0.00247049
0.052	0.00246875
0.0525	0.0024686
0.053	0.00247211
0.0535	0.0024697
0.054	0.00246962
0.0545	0.00247149
0.055	0.00246982
0.0555	0.00246924
0.056	0.00247181
0.0565	0.00247005
0.057	0.00246959
0.0575	0.00247021
0.058	0.00247073
0.0585	0.0024701
0.059	0.00247006
0.0595	0.0024702
0.06	0.00247204
0.0605	0.00247
0.061	0.00247034
0.0615	0.00247016
0.062	0.0024699
0.0625	0.00247085
0.063	0.00246983
0.0635	0.00246968
0.064	0.00247066
0.0645	0.0024708
0.065	0.00246981
0.0655	0.00247012
0.066	0.00247013
0.0665	0.00246872
0.067	0.00247073
0.0675	0.00246941
0.068	0.00247035
0.0685	0.0024698
0.069	0.00247001
0.0695	0.00246931
0.07	0.00247074
0.0705	0.00247052
0.071	0.00247115
0.0715	0.00247161
0.072	0.00247062
0.0725	0.00247218
0.073	0.00247077
0.0735	0.00246853
0.074	0.00246998
0.0745	0.00247079
0.075	0.00247061
0.0755	0.00247221
0.076	0.00247222
0.0765	0.00247209
