Time - Strain	Amplitude - Strain
0	0.00238005
0.0005	0.00238038
0.001	0.0023814
0.0015	0.00238049
0.002	0.00238096
0.0025	0.00237902
0.003	0.00238071
0.0035	0.00237898
0.004	0.00238015
0.0045	0.00237958
0.005	0.00238064
0.0055	0.00238212
0.006	0.00237968
0.0065	0.0023808
0.007	0.00238102
0.0075	0.00237853
0.008	0.00237994
0.0085	0.00238031
0.009	0.0023802
0.0095	0.00238144
0.01	0.00237891
0.0105	0.00238028
0.011	0.00238137
0.0115	0.00238043
0.012	0.00238085
0.0125	0.00237909
0.013	0.00238135
0.0135	0.00238176
0.014	0.0023783
0.0145	0.00238019
0.015	0.00238211
0.0155	0.00237968
0.016	0.00237923
0.0165	0.00238265
0.017	0.00237796
0.0175	0.00237995
0.018	0.00238089
0.0185	0.00238076
0.019	0.00238034
0.0195	0.00238033
0.02	0.00238082
0.0205	0.00237866
0.021	0.00237814
0.0215	0.00238054
0.022	0.00238184
0.0225	0.00238088
0.023	0.00238051
0.0235	0.00238064
0.024	0.00238146
0.0245	0.0023806
0.025	0.00238167
0.0255	0.00238136
0.026	0.00238044
0.0265	0.00237991
0.027	0.00237997
0.0275	0.00238046
0.028	0.00237982
0.0285	0.00237957
0.029	0.00237903
0.0295	0.00238133
0.03	0.00237903
0.0305	0.00238121
0.031	0.00238071
0.0315	0.0023815
0.032	0.00238017
0.0325	0.00237926
0.033	0.00237879
0.0335	0.00238069
0.034	0.00237957
0.0345	0.0023798
0.035	0.00237994
0.0355	0.00237956
0.036	0.00237945
0.0365	0.00238086
0.037	0.00237891
0.0375	0.00238009
0.038	0.00238064
0.0385	0.00238028
0.039	0.00238224
0.0395	0.00238109
0.04	0.00238258
0.0405	0.00238113
0.041	0.00238118
0.0415	0.00238004
0.042	0.00238127
0.0425	0.00238092
0.043	0.0023807
0.0435	0.00238145
0.044	0.00238353
0.0445	0.00237986
0.045	0.00238068
0.0455	0.00238153
0.046	0.00238118
0.0465	0.0023802
0.047	0.00237963
0.0475	0.00237902
0.048	0.00237991
0.0485	0.00237975
0.049	0.00237941
0.0495	0.00237962
0.05	0.00237977
0.0505	0.00238009
0.051	0.00237969
0.0515	0.00237979
0.052	0.00237972
0.0525	0.00237984
0.053	0.0023808
0.0535	0.00238147
0.054	0.00238054
0.0545	0.00237941
0.055	0.00238123
0.0555	0.00238189
0.056	0.00238171
0.0565	0.00238118
0.057	0.00238056
0.0575	0.00238096
0.058	0.00238214
0.0585	0.00238018
0.059	0.00238193
0.0595	0.00238145
0.06	0.00238172
0.0605	0.00238148
0.061	0.00238121
0.0615	0.00238053
0.062	0.0023802
0.0625	0.00237991
0.063	0.0023806
0.0635	0.00238163
0.064	0.00237977
0.0645	0.00238067
0.065	0.00237877
0.0655	0.00238134
0.066	0.00238034
0.0665	0.00238122
0.067	0.0023804
0.0675	0.00237897
0.068	0.00237965
0.0685	0.00238066
0.069	0.00238114
0.0695	0.00238067
0.07	0.00238171
0.0705	0.0023806
0.071	0.00237996
0.0715	0.00238006
0.072	0.0023826
0.0725	0.00238086
0.073	0.00238123
0.0735	0.00238025
0.074	0.00238082
0.0745	0.00238153
0.075	0.0023786
0.0755	0.00238017
0.076	0.00238111
0.0765	0.00238182
0.077	0.00238207
0.0775	0.00238161
0.078	0.00238209
0.0785	0.00238061
0.079	0.00238038
0.0795	0.0023804
0.08	0.00238022
0.0805	0.00238006
0.081	0.0023787
0.0815	0.00237899
0.082	0.00237851
0.0825	0.00238157
0.083	0.00238026
0.0835	0.00238014
0.084	0.00238117
0.0845	0.00238015
0.085	0.00238113
0.0855	0.00238024
0.086	0.00238006
0.0865	0.00237942
0.087	0.00237991
0.0875	0.00238116
0.088	0.00238151
0.0885	0.00238077
0.089	0.00237977
0.0895	0.00238207
0.09	0.00238124
0.0905	0.00238019
0.091	0.00238103
0.0915	0.00237972
0.092	0.00238117
0.0925	0.0023799
0.093	0.00238054
0.0935	0.00238049
0.094	0.00238107
0.0945	0.00237935
0.095	0.00238007
0.0955	0.00238018
0.096	0.00238012
0.0965	0.00238055
0.097	0.00237828
0.0975	0.00237815
0.098	0.00238332
0.0985	0.00238038
0.099	0.00237942
0.0995	0.00238035
0.1	0.00237849
0.1005	0.00237946
0.101	0.00238031
0.1015	0.00238099
0.102	0.00238103
0.1025	0.00238136
0.103	0.00238123
0.1035	0.00238028
0.104	0.00237923
0.1045	0.00238031
0.105	0.00237921
0.1055	0.00238105
0.106	0.00238113
0.1065	0.00238186
0.107	0.00238063
0.1075	0.0023809
0.108	0.00238204
0.1085	0.0023804
0.109	0.00238186
0.1095	0.0023804
0.11	0.00238137
0.1105	0.00237979
0.111	0.00238173
0.1115	0.00237967
0.112	0.00238229
0.1125	0.00237945
0.113	0.0023812
0.1135	0.00237966
0.114	0.00238042
0.1145	0.0023818
0.115	0.00237948
0.1155	0.00237933
0.116	0.00238111
0.1165	0.00237937
0.117	0.00237942
0.1175	0.00238131
0.118	0.00238114
0.1185	0.00238087
0.119	0.0023804
0.1195	0.00238109
0.12	0.00238153
0.1205	0.00238128
0.121	0.0023801
0.1215	0.00238098
0.122	0.00238207
0.1225	0.00238041
0.123	0.00238057
0.1235	0.00238091
0.124	0.00238121
0.1245	0.00238245
0.125	0.00238028
0.1255	0.00238304
0.126	0.00238118
0.1265	0.00238106
0.127	0.0023821
0.1275	0.00238063
0.128	0.00238048
0.1285	0.00238059
0.129	0.00238047
0.1295	0.0023819
0.13	0.00238196
0.1305	0.00238134
0.131	0.0023805
0.1315	0.00238056
0.132	0.00238245
0.1325	0.00237934
0.133	0.00238078
0.1335	0.00237857
0.134	0.00237958
0.1345	0.0023781
0.135	0.00237989
0.1355	0.00238141
0.136	0.00237976
0.1365	0.00237992
0.137	0.00237947
0.1375	0.00237884
0.138	0.00238074
0.1385	0.0023804
0.139	0.00238195
0.1395	0.00238114
0.14	0.00238049
0.1405	0.00238329
0.141	0.00238159
0.1415	0.00238351
0.142	0.00238164
0.1425	0.00237932
0.143	0.00238181
0.1435	0.00238208
0.144	0.00238059
0.1445	0.00238089
0.145	0.00237998
0.1455	0.00237935
0.146	0.00238136
0.1465	0.00238021
0.147	0.00238126
0.1475	0.00238146
0.148	0.00237964
0.1485	0.00238109
0.149	0.00238178
0.1495	0.00237928
0.15	0.00238072
0.1505	0.00238006
0.151	0.00238026
0.1515	0.00238048
0.152	0.00238234
0.1525	0.0023791
0.153	0.00237838
0.1535	0.00238044
0.154	0.00237954
0.1545	0.002382
0.155	0.00238091
0.1555	0.00238062
0.156	0.00238035
0.1565	0.00238135
0.157	0.00237984
0.1575	0.00238092
0.158	0.00238121
0.1585	0.00237967
0.159	0.00238064
0.1595	0.00238045
0.16	0.002381
0.1605	0.00237925
0.161	0.00238265
0.1615	0.00238073
0.162	0.00238092
0.1625	0.00237995
0.163	0.00238126
0.1635	0.00237955
0.164	0.00238126
0.1645	0.0023797
0.165	0.00238073
0.1655	0.00238026
0.166	0.00238156
0.1665	0.00238074
0.167	0.00238047
0.1675	0.00238215
0.168	0.00238086
0.1685	0.00238044
0.169	0.00238027
0.1695	0.00238203
0.17	0.00238181
0.1705	0.00237906
0.171	0.00238169
0.1715	0.0023807
0.172	0.00238107
0.1725	0.00237955
0.173	0.0023815
0.1735	0.00238127
0.174	0.00237996
0.1745	0.00238069
0.175	0.00238121
0.1755	0.00238357
0.176	0.00238119
0.1765	0.00238181
0.177	0.00238107
0.1775	0.00238121
0.178	0.00238168
0.1785	0.00238086
0.179	0.00237893
0.1795	0.00238084
0.18	0.00237987
0.1805	0.00238049
0.181	0.00238031
0.1815	0.00238042
0.182	0.00238009
0.1825	0.00238029
0.183	0.00237907
0.1835	0.00238139
0.184	0.00238199
0.1845	0.00238011
0.185	0.0023799
0.1855	0.00237884
0.186	0.00237993
0.1865	0.00238197
0.187	0.00238089
0.1875	0.00238028
0.188	0.00238161
0.1885	0.00238145
0.189	0.00238054
0.1895	0.00238256
0.19	0.00238018
0.1905	0.00237948
0.191	0.00237851
0.1915	0.00238118
0.192	0.00238098
0.1925	0.00238128
0.193	0.00238297
0.1935	0.00237957
0.194	0.00238036
0.1945	0.00238303
0.195	0.00238048
0.1955	0.00237964
0.196	0.00238139
0.1965	0.00238186
0.197	0.00238072
0.1975	0.00237802
