Time - Strain	Amplitude - Strain
0	0.00239849
0.0005	0.0023972
0.001	0.00239852
0.0015	0.00239792
0.002	0.00239927
0.0025	0.00239735
0.003	0.0023986
0.0035	0.00239799
0.004	0.00239862
0.0045	0.00239753
0.005	0.00239652
0.0055	0.00239775
0.006	0.0023972
0.0065	0.00239792
0.007	0.00239788
0.0075	0.00239904
0.008	0.00239764
0.0085	0.00239936
0.009	0.00239848
0.0095	0.00239881
0.01	0.00239684
0.0105	0.0023995
0.011	0.00239791
0.0115	0.00239893
0.012	0.00240044
0.0125	0.00239868
0.013	0.00239958
0.0135	0.00239858
0.014	0.00239861
0.0145	0.00239878
0.015	0.00239755
0.0155	0.0023987
0.016	0.00239885
0.0165	0.00239869
0.017	0.0024001
0.0175	0.00239853
0.018	0.0023978
0.0185	0.00239928
0.019	0.0023986
0.0195	0.00239752
0.02	0.00239677
0.0205	0.00239882
0.021	0.00239964
0.0215	0.00239694
0.022	0.00239774
0.0225	0.00239894
0.023	0.0023967
0.0235	0.00239639
0.024	0.00239824
0.0245	0.00239922
0.025	0.00239793
0.0255	0.00239732
0.026	0.0023973
0.0265	0.00239877
0.027	0.00239735
0.0275	0.00239838
0.028	0.00239863
0.0285	0.00239981
0.029	0.00239796
0.0295	0.00239888
0.03	0.00239982
0.0305	0.00239689
0.031	0.00239728
0.0315	0.00239926
0.032	0.002401
0.0325	0.00239861
0.033	0.00239867
0.0335	0.00239955
0.034	0.00240044
0.0345	0.00239905
0.035	0.00239793
0.0355	0.00239827
0.036	0.00239764
0.0365	0.00239757
0.037	0.00239895
0.0375	0.00239809
0.038	0.00239827
0.0385	0.00239786
0.039	0.00239878
0.0395	0.00239755
0.04	0.00239761
0.0405	0.00239748
0.041	0.00239745
0.0415	0.00239854
0.042	0.00239904
0.0425	0.00239738
0.043	0.00239912
0.0435	0.00239869
0.044	0.00239872
0.0445	0.00239914
0.045	0.00240038
0.0455	0.00240054
0.046	0.00239933
0.0465	0.00239824
0.047	0.00239888
0.0475	0.00240033
0.048	0.00239985
0.0485	0.00239882
0.049	0.00239966
0.0495	0.0024
0.05	0.00239879
0.0505	0.00239801
0.051	0.00239902
0.0515	0.00239903
0.052	0.00239757
0.0525	0.0023992
0.053	0.00239846
0.0535	0.0023972
0.054	0.00239809
0.0545	0.00239671
0.055	0.00239757
0.0555	0.00240001
0.056	0.0023975
0.0565	0.00239882
0.057	0.00239945
0.0575	0.00239768
